id,unit_id,compareunit_id,equivalent
1,1,1,2.2046226
2,2,1,0.002204623
3,3,1,1
4,4,2,1
5,5,3,1
6,6,4,1
7,7,4,1
8,8,5,1
9,9,2,1000
10,10,6,1
11,11,2,355
12,12,2,330
13,13,2,341
14,14,2,500
15,15,2,440
16,16,2,473
17,17,2,375
18,18,2,236
19,19,2,310
20,20,2,591
21,21,2,222
22,22,2,237
23,23,2,355
24,24,2,355
25,25,2,330
26,26,2,341
27,27,2,500
28,28,2,440
29,29,2,473
30,30,2,750
31,31,2,375
32,32,2,1000
33,33,2,236
34,34,2,700
35,35,2,2000
36,36,2,1500
37,37,2,187.5
38,38,2,4000
39,39,2,710
40,40,2,310
41,41,2,591
42,42,2,222
43,43,2,237
44,44,2,370
45,45,2,473
46,46,2,1250
47,47,2,695
48,48,7,1
49,49,8,1
50,50,1,1.25
51,51,1,
52,52,1,
53,53,1,4
54,54,1,0.5
55,55,1,0.75
56,56,1,0.75
57,57,1,0.75
58,58,9,1
59,59,10,1
60,60,11,1
61,61,11,1
62,62,2,40
63,63,12,1
64,64,7,1
65,65,8,1
66,64,4,1
67,7,8,1
68,7,7,1
69,7,6,1
70,60,4,12
71,6,8,1
72,6,7,1
73,6,6,1
74,64,8,1
75,64,7,1
76,64,6,1
77,48,6,1
78,49,7,1
79,49,6,1
80,60,8,12
81,65,8,1